temperature_K,polarizability_m3
112.843901436708, 1.7638005503955967e-30
142.34959355224493, 1.763862401100791e-30
171.85664419455856, 1.763934372830472e-30
201.3598456776715, 1.763977668324108e-30
233.54183554329012, 1.764000159489633e-30
263.0467729217289, 1.7640563874034462e-30
292.5513329316185, 1.7641098039215685e-30
322.05702504715543, 1.764171654626763e-30
351.5619624255942, 1.7642278825405758e-30
381.0676545411311, 1.7642897332457702e-30
410.5737240252171, 1.764354395346655e-30
440.0794161407539, 1.7644162460518496e-30
469.58699509903624, 1.7644921537354974e-30
499.09230984602414, 1.764551193045001e-30
528.5991340672083, 1.7646214779372672e-30
558.1055809198433, 1.764688951433843e-30
587.6127825095766, 1.7647620477218e-30
617.1196067307607, 1.764832332614066e-30
648.3488389460737, 1.764891699919734e-30
676.1328685697545, 1.7649700222034586e-30
708.3254339895728, 1.7650713012477718e-30
737.8341450535024, 1.7651556431184913e-30
767.343233485981, 1.7652427963849017e-30
796.8511898128122, 1.7653215154642396e-30
826.36065561384, 1.765411480126341e-30
856.9822678598505, 1.765462861729487e-30
884.2275713849263, 1.765570796271725e-30
914.8884240693415, 1.765676688453159e-30
944.4004056606964, 1.7657853957531976e-30
973.9115067254368, 1.7658875431299578e-30
1003.4216014740464, 1.765982193451543e-30
1032.9325767492703, 1.7660834036964065e-30
1062.4443067615925, 1.7661902367326516e-30
1091.9560367739148, 1.7662970697688962e-30
1122.0049886527086, 1.7664106501547987e-30
1150.9810062727554, 1.7665219814241485e-30
1180.493491022176, 1.7666344372517745e-30
1210.0067305086943, 1.766752515870782e-30
1239.520347363762, 1.76687340588548e-30
1269.0339642188296, 1.7669942959001782e-30
1298.5475810738972, 1.7671151859148763e-30
1328.062330034612, 1.767244510116646e-30
1357.577456363876, 1.767376645714107e-30
1387.0922053245909, 1.767505969915877e-30
1416.6073316538548, 1.7676381055133375e-30
1446.1240932468313, 1.767782423825458e-30
1475.6419869454553, 1.76793517632465e-30
1505.1606353811771, 1.7680935516152233e-30
1534.6781265533489, 1.7682433052923453e-30
1564.192586198176, 1.7683704740907526e-30
1593.7084672645383, 1.7685082324795945e-30
1623.226046489371, 1.7686586421490443e-30
1652.7419275557331, 1.7687964005378866e-30
1682.2574312535462, 1.7689313475310377e-30
1711.7767086368501, 1.7690944084810955e-30
1741.2885141228821, 1.7692018037964787e-30
1771.3506361640386, 1.769413501891985e-30
1800.3315356906073, 1.7695612033649183e-30
1829.8515539587706, 1.769729783907183e-30
1859.3701533519725, 1.7698877938309826e-30
1888.8901087253785, 1.7700559058072988e-30
1918.409763477231, 1.7702217781530474e-30
1947.9286634919863, 1.7703820277074144e-30
1977.4490729809372, 1.7705535228445444e-30
1998.917645211859, 1.77067216374269e-30
