temperature_K,polarizability_m3
105.8589813914941, 1.596372222533199e-30
127.96962478908173, 1.5964083723569053e-30
150.08026818666937, 1.596456912547457e-30
172.190911584257, 1.5965085503297206e-30
194.30155498184465, 1.5965570905202727e-30
216.41219837943228, 1.596608728302536e-30
238.52284177701992, 1.5966665612682224e-30
260.6334851746076, 1.596724394233909e-30
284.51770959339206, 1.596724718358147e-30
304.56762075682707, 1.5968432595229488e-30
326.9654153673705, 1.5969226738646596e-30
349.07605876495813, 1.5969928971971917e-30
371.18670216254577, 1.5970662181214355e-30
393.2973455601334, 1.5971488318208133e-30
415.40798895772093, 1.5972314455201912e-30
437.9493591747422, 1.5972637496056433e-30
459.6292757528962, 1.597382476255296e-30
481.73991915048384, 1.597500404395263e-30
503.8505625480715, 1.5975885396064218e-30
526.9830043107818, 1.5977050266338895e-30
549.7947566209808, 1.5977654269802643e-30
570.4840015144379, 1.5978942350018687e-30
592.293136138422, 1.5980658202510568e-30
614.4037795360097, 1.598176312275838e-30
636.5144229335973, 1.5983508211959893e-30
662.2815329722421, 1.598453891747622e-30
685.0070840214884, 1.5985592175865903e-30
704.85641161705, 1.598698724916112e-30
726.9670550146376, 1.5988463880414305e-30
749.0776984122252, 1.598994051166749e-30
771.1883418098129, 1.599144811883779e-30
793.2989852074005, 1.5992986701925207e-30
815.409628604988, 1.599458723684685e-30
837.5202720025757, 1.5996249723602723e-30
859.6309154001633, 1.5997974162192824e-30
881.7415587977509, 1.599969860078293e-30
903.8522021953386, 1.6001484991207257e-30
925.9628455929262, 1.600333333346582e-30
948.0734889905139, 1.6005212651641494e-30
970.1841323881015, 1.6007060993900053e-30
992.2947757856891, 1.6008971287992844e-30
1014.4054191832768, 1.601106743758832e-30
1036.5160625808644, 1.601297773168111e-30
1058.626705978452, 1.6015161123792866e-30
1080.7373493760397, 1.6017268643858473e-30
1102.8479927736273, 1.6019199053346602e-30
1124.958636171215, 1.602145525781436e-30
1147.0692795688026, 1.6024034631716826e-30
1169.1799229663902, 1.602544464579743e-30
1191.2905663639779, 1.602771273068368e-30
1213.4012097615655, 1.6029838811031843e-30
1235.5118531591531, 1.603156429478637e-30
1257.6224965567408, 1.603375337213319e-30
1279.7331399543284, 1.6035880497645784e-30
1301.843783351916, 1.6038038599075488e-30
1323.9544267495037, 1.6040196700505195e-30
1346.0650701470913, 1.6042385777852016e-30
1368.175713544679, 1.6044543879281723e-30
1390.2863569422666, 1.604673295662854e-30
1412.3970003398542, 1.6048860082141134e-30
1434.5076437374419, 1.6051049159487955e-30
1456.6182871350295, 1.6053238236834776e-30
1478.7289305326171, 1.605539633826448e-30
1494.8093984581353, 1.605686336445127e-30
