U,T_ratio
0.723, 2.751
1.254, 4.861
1.673, 7.142
2.089, 9.421
2.470, 11.776
2.857, 14.324
3.039, 15.584
3.448, 18.348
3.809, 20.948
4.147, 23.422
4.485, 25.980
4.846, 28.626
5.232, 31.261
5.642, 33.864
6.076, 36.430
6.558, 39.011
7.089, 41.548
7.619, 43.829
8.150, 46.217
8.632, 48.785
9.066, 51.311
9.452, 53.813
9.765, 56.298
10.030, 58.811
10.247, 61.343
10.440, 64.141
10.633, 66.850
10.850, 69.577
11.091, 72.357
11.332, 74.996
11.598, 77.717
11.887, 80.563
12.176, 83.351
12.466, 85.982
12.755, 88.475
13.069, 91.171
13.406, 93.964
13.744, 96.656
14.081, 99.332
14.419, 101.924
14.756, 104.448
15.070, 106.792
