theta,beta
0.12, 11.49
0.48, 11.70
0.84, 11.95
1.20, 12.25
1.56, 12.51
1.93, 12.81
2.29, 13.07
2.65, 13.36
3.01, 13.63
3.37, 13.93
3.74, 14.23
4.10, 14.53
4.46, 14.83
4.82, 15.12
5.18, 15.41
5.54, 15.72
5.91, 16.00
6.27, 16.31
6.63, 16.63
6.99, 16.91
7.35, 17.22
7.71, 17.52
8.08, 17.83
8.44, 18.12
8.80, 18.41
9.16, 18.71
9.52, 18.99
9.88, 19.32
10.25, 19.62
10.61, 19.93
10.97, 20.26
11.33, 20.58
11.69, 20.90
12.05, 21.25
12.42, 21.61
12.78, 21.93
13.14, 22.26
13.50, 22.57
13.86, 22.92
14.22, 23.26
14.59, 23.60
14.95, 23.90
15.31, 24.25
15.67, 24.61
16.03, 24.98
16.39, 25.36
16.76, 25.75
17.12, 26.16
17.48, 26.53
17.84, 26.93
18.20, 27.31
18.56, 27.72
18.93, 28.12
19.29, 28.53
19.65, 28.93
20.01, 29.36
20.37, 29.77
20.73, 30.18
21.10, 30.60
21.46, 31.02
21.82, 31.45
22.18, 31.87
22.54, 32.26
22.91, 32.69
23.27, 33.10
23.63, 33.50
23.99, 33.93
24.35, 34.34
24.71, 34.76
25.08, 35.20
25.44, 35.63
25.80, 36.09
26.16, 36.54
26.52, 37.02
26.88, 37.48
27.25, 37.95
27.61, 38.42
27.97, 38.90
28.33, 39.40
28.69, 39.88
29.05, 40.35
29.42, 40.83
29.78, 41.31
30.14, 41.77
30.50, 42.25
30.86, 42.73
31.22, 43.22
31.59, 43.70
31.95, 44.22
32.31, 44.75
32.67, 45.30
33.03, 45.89
33.39, 46.48
33.76, 47.03
34.12, 47.59
34.48, 48.25
34.84, 48.85
35.20, 49.39
35.55, 50.06
35.89, 50.66
36.26, 51.33
36.62, 51.97
36.98, 52.62
37.34, 53.25
37.70, 53.91
38.06, 54.60
38.43, 55.28
38.77, 55.99
39.08, 56.72
39.36, 57.43
39.63, 58.16
39.87, 58.87
40.12, 59.59
40.39, 60.36
40.64, 61.12
40.86, 61.89
41.05, 62.73
41.20, 63.50
41.26, 64.42
41.27, 65.55
41.19, 66.81
41.07, 67.66
40.91, 68.60
40.72, 69.43
40.48, 70.34
40.20, 71.04
39.89, 71.71
39.54, 72.36
39.18, 72.99
38.82, 73.60
38.46, 74.13
38.10, 74.63
37.73, 75.05
37.37, 75.48
37.01, 75.89
36.65, 76.26
36.29, 76.63
35.93, 76.94
35.56, 77.25
35.20, 77.53
34.84, 77.81
34.48, 78.05
34.12, 78.28
33.76, 78.51
33.39, 78.67
33.03, 78.87
32.67, 79.04
32.31, 79.22
31.95, 79.41
31.59, 79.58
31.22, 79.75
30.86, 79.91
30.50, 80.07
30.14, 80.25
29.78, 80.42
29.42, 80.55
29.05, 80.70
28.69, 80.88
28.33, 81.00
27.97, 81.13
27.61, 81.30
27.25, 81.41
26.88, 81.55
26.52, 81.70
26.16, 81.80
25.80, 81.96
25.44, 82.08
25.08, 82.20
24.71, 82.32
24.35, 82.46
23.99, 82.58
23.63, 82.71
23.27, 82.83
22.91, 82.95
22.54, 83.07
22.18, 83.20
21.82, 83.32
21.46, 83.43
21.10, 83.56
20.73, 83.66
20.37, 83.79
20.01, 83.91
19.65, 84.04
19.29, 84.13
18.93, 84.27
18.56, 84.40
18.20, 84.54
17.84, 84.65
17.48, 84.77
17.12, 84.90
16.76, 85.03
16.39, 85.15
16.03, 85.27
15.67, 85.40
15.31, 85.53
14.95, 85.66
14.59, 85.77
14.22, 85.90
13.86, 86.00
13.50, 86.15
13.14, 86.29
12.78, 86.40
12.42, 86.50
12.05, 86.62
11.69, 86.75
11.33, 86.86
10.97, 86.98
10.61, 87.06
10.25, 87.20
9.88, 87.30
9.52, 87.43
9.16, 87.51
8.85, 87.75
8.52, 87.79
8.17, 87.79
7.78, 87.86
7.42, 88.02
7.06, 88.24
6.75, 88.38
6.33, 88.37
6.00, 88.48
5.61, 88.61
5.26, 88.70
4.91, 88.71
4.50, 88.80
4.20, 88.84
3.95, 88.87
3.52, 89.00
3.18, 89.04
2.84, 89.11
2.49, 89.19
2.12, 89.30
1.76, 89.40
1.41, 89.54
1.04, 89.68
0.68, 89.81
0.32, 89.87
