vibNum,pol
0.1520, 0.6997
0.5674, 0.7013
0.8103, 0.7268
1.1937, 0.7304
1.3919, 0.7260
1.7689, 0.7491
2.0800, 0.7778
2.3109, 0.7594
2.5423, 0.7663
2.8618, 0.8077
3.1111, 0.8262
3.6735, 0.8065
3.9185, 0.8372
4.1848, 0.8356
4.5683, 0.8439
4.7920, 0.8665
5.1882, 0.8751
5.5525, 0.8847
5.7570, 0.8889
6.1788, 0.9201
6.4984, 0.9259
6.7843, 0.9626
7.0768, 0.9813
7.3037, 0.9620
7.5586, 0.9732
7.8150, 1.0052
8.2112, 1.0137
8.4830, 1.0199
8.7225, 1.0389
9.2466, 1.0598
9.4871, 1.0713
9.7611, 1.1004
10.2180, 1.1160
10.4993, 1.1293
10.7430, 1.1437
11.2790, 1.1741
11.5474, 1.1910
11.7792, 1.2178
12.2632, 1.2357
12.5316, 1.2538
12.7937, 1.2962
13.1835, 1.3088
13.4312, 1.3212
13.7204, 1.3522
13.8738, 1.3891
14.2573, 1.3727
14.5257, 1.3948
14.7941, 1.4342
15.3054, 1.4533
15.5738, 1.4770
15.8231, 1.5237
16.2769, 1.5367
16.5453, 1.5616
16.7945, 1.6059
17.2100, 1.6196
17.4400, 1.6375
17.7085, 1.6696
17.8555, 1.7172
18.2581, 1.7126
18.5265, 1.7405
18.7886, 1.7767
19.1401, 1.8187
