vibNum,pol
0.2862, 0.5437
0.5546, 0.5429
0.7591, 0.5372
1.2704, 0.5697
1.5389, 0.5876
1.7626, 0.6049
2.2930, 0.6585
2.5615, 0.6864
2.7695, 0.7010
3.3028, 0.7868
3.5713, 0.8323
3.7758, 0.8633
4.2743, 0.9333
4.5427, 0.9511
4.7536, 0.9675
5.2713, 1.0075
5.5397, 1.0234
5.7570, 1.0305
6.3067, 1.0543
6.5751, 1.0838
6.7924, 1.1036
7.2909, 1.1670
7.5593, 1.2027
7.7638, 1.2287
8.2879, 1.2698
8.5563, 1.2879
8.7609, 1.2947
9.2849, 1.3430
9.5534, 1.3729
9.7771, 1.3923
10.2692, 1.4608
10.5376, 1.4996
10.7613, 1.5359
11.4707, 1.6310
11.6953, 1.6550
12.2760, 1.7154
12.5444, 1.7503
12.8065, 1.7839
13.2730, 1.8621
13.5414, 1.9051
13.7843, 1.9449
14.2700, 2.0294
14.5385, 2.0586
14.7941, 2.0890
15.2926, 2.1905
15.5610, 2.2590
15.8167, 2.3150
16.2896, 2.4293
16.5581, 2.4872
16.8201, 2.5321
17.2739, 2.6328
17.5385, 2.6983
17.8107, 2.7555
18.2453, 2.8742
18.4626, 2.9517
18.6688, 3.0325
18.8376, 3.1027
